Straße ;Planquadrat ;Datum der Benennung;Informationen zur Benennung 
Brüder-Knauß-Straße ;L 7 ;02. Jul 53;Benannt nach den Brüdern Johann Philipp Ludwig (17151787) u. Friedrich Knauß (1724-1789), ersterer bedeutender Hofuhrmacher, der andere berühmter Hofmechaniker, lebten ab 1740 in Darmstadt, beide starben in Wien. 
Ehretstraße ;L 7 ;29. Okt 59;Benannt nach Johann Kaspar Ehret (1688-1751), Gartengestalter u. Hofgärtner in Darmstadt. 
Eichwiesenstraße ;L 7 ;Benennung 1922 ;Benannt nach der Gewannbezeichnung 'Eichwiesen' 
Felsingstraße ;L 7 ;Benennung 1905 ;Benannt nach Heinrich Felsing (1800-1875), Kupferdrucker u. Gründer der Turngemeinde 1846 Darmstadt und Schöpfer des Wahrzeichens der dt.Turnerschaft mit den vier F. 
Forstmeisterplatz ;L 7 ;;Benennung nach der ehem. Wohnung des Bessunger Oberförsters. 
Forstmeisterstraße ;L 7 ;;Benennung nach der ehem. Wohnung des Bessunger Oberförsters. 
Heiner-Aßmuth-Platz ;L 7 ;09. Okt 96;Benannt nach Heinrich Aßmuth (1907-1995), Bessunger Original 
Heinestraße ;L 7 ;24. Mrz 56;Benannt nach Heinrich Heine (1797-1856), Dichter u. Schriftsteller 
Im Wingert ;L 7 ;Benennung 1923 ;Die Benennung erinnert an frühere Weingärten in diesem Gebiet. 
Ingelheimer Garten ;L 7 ;;Benennung nach der Rheinland-Pfälzischen Stadt Ingelheim 
Kiesbergstraße ;L 7 ;Benennung 1888 ;Genannt nach den Hügeln im Bess. Feld 
Kurzer Weg ;L 7 ;27. Okt 50;Für die Sackgasse wurde in Anlehnung an die in der Nähe liegende Feldflur 'Die Kurzgewann' die Bezeichnung 'Kurzer Weg' gewählt. 
Moltkestraße ;L 7 ;Benennung 1918 ;Benannt nach Helmuth, Graf v. Moltke (1800-1891), Generalfeldmarschall, Chef des Generalstabs 1870-71. 
Niersteiner Straße ;L 7 ;08. Feb 51;Benannt nach dem Winzerort Nierstein am Rhein. 
Oppenheimer Straße ;L 7 ;11. Mrz 50;Benannt nach dem rheinhessischen Weinort Oppenheim. 
Landskronstraße ;L 7-8 ;Benennung 1895 ;Benennung nach der Reichsburg 'Landskrone' bei Oppenheim/Rhein. 
Moosbergstraße ;L 7-8 ;Benennung 1892 ;Benennung nach dem 'Moosberg', einer Erhebung im südl. Darmstädter Stadtwald. 
Niederstraße ;L 7-8 ;Benennung 1888 ;Die Lage der Straße gab den Name, da sie in das tiefer gelegene Feld führte. 
Alte Seegasse ;L 8 ;24. Jun 87;Benennung, da das Gebiet in einer Niederung liegt u. oft überschwemmt war. 
Am Forellenteich ;L 8 ;;Benennung nach dem Forellenteich, der früher im Süden des Marien-Hospitals lag. 
Am Weidenborn ;L 8 ;;Benennung nach einem ehemaligen Brunnen in der Nähe von Weidenbäumen 
Bordenbergstraße ;L 8 ;;Benennung nach dem Bordenberg, einem Hügel südl. von Darmstadt. 
Clemensstraße ;L 8 ;Benennung 1890 ;Gewannbezeichnung, man nimmt an, dass ein gewisser Klemens oder Clemens in jener Gegend einen Garten hatte. 
Edith-Stein-Weg ;L 8 ;10. Nov 04;Benannt nach Edith Stein (1891-1942), Philosophin, Frauenrechtlerin, 1942 im KZ Auschwitz ermordet. 
Elly-Heuss-Knapp-Weg ;L 8 ;10. Nov 04;Benannt nach Elly Heuss-Knapp (1881-1952), Frau des Bundespräsidenten Theodor Heuss, Gründerin des Deutschen Müttergenesungswerkes 
Fichtestraße ;L 8 ;;Benannt nach Professor Johann Gottlieb Fichte (17621814), dt. Philosoph, gilt als Begründer des deutschen Idealismus. 
Habichweg ;L 8 ;Benennung 1958 ;Benannt nach Ludwig Habich (1872-1949), Darmstädter Bildhauer. Schöpfer des Bismarck-Denkmals und der Figuren am Ernst-Ludwig-Haus. 
Hammerweg ;L 8 ;10. Okt 79;Benannt nach Dr. Richard Hammer (1897-1969), Darmstädter Arzt und Politiker. 
Haubachweg ;L 8 ;13. Aug 51;Benannt nach Dr. Theodor Haubach (1896-1945), Journalist u. Politiker u. Widerstandskämpfer.Viele Jahre im KZ. Opfer des Nationalsozialismus. 
Herderstraße ;L 8 ;Benennung 1903 ;Benannt nach Johann Gottfried Herder (1744-1803), dt.Dichter, Theologe, Philosoph, Übersetzer u. Schriftsteller. 
Herrngartenstraße ;L 8 ;;Benennung nach dem Herrngarten an der Nordseite dieser Straße. 
Kraftsruhe ;L 8 ;;Parkanlage 
Küchlerstraße ;L 8 ;Benennung 1919 ;Benannt nach dem Darmstädter Geh. Ob.-Medizinalrat Dr. Heinrich Küchler (1811-1873), Gründer des MathildenLandkrankenhauses,das jetzt als Kinderklinik 'Eleonorenklinik' dient. 
Langgässerweg ;L 8 ;22. Mrz 57;Benennung nach Elisabeth Langgässer (1899-1950) Schriftstellerin, besuchte in Darmstadt die Viktoriaschule. 
Ludwig-Büchner-Straße ;L 8 ;08. Aug 62;Benannt nach Dr. Friedrich Karl Christian Ludwig Büchner (1824-1899),in Darmstadt geborener Politiker, Arzt und Philosoph. 
Mendelssohnstraße ;L 8 ;26. Jun 53;Benannt nach Professor Arnold Mendelssohn (18551933), Komponist u. Lehrer u. Kirchenmusiker in Darmstadt. 
Orangerieallee ;L 8 ;;Führt zum Bessunger Herrngarten, dem sogenannten Orangeriegarten. 
Orangeriegarten ;L 8 ;;Parkanlage 
Rilkeweg;L 8 ;22. Mrz 57;Benannt nach Rainer (eigtl. René) Maria Rilke (18751926), Dichter 
Rongeweg;L 8 ;05. Jun 85;Benannt nach Johannes Ronge (1813-1887), Begründer der freireligiösen Bewegung. 
Heinrichwingertsweg ;L 8-9 ;Benennung 1911 ;Der Name weist auf einen früher hier gelegenen Weingarten hin. 
Lossenweg ;L 8-9 ;31. Aug 54;Benannt nach Hermann Lossen (1864-1910), Dr. med., Darmstädter Arzt, Forscher und Menschenfreund. 
Atzwinkelweg ;L 9 ;;Benennung nach einem Wiesenstück südwestl. Der Lichtwiese 
Claudiusweg ;L 9 ;;Benannt nch Matthias Claudius (1740-1815), dt. Schriftsteller u.Dichter, 'Der Mond ist aufgegangen'...soll am Schnampelweg bei Darmstadt entstanden sein. 
Hölderlinweg ;L 9 ;;Benannt nach Friedrich Hölderlin (1770-1843), dt. Dichter u. Lyriker 
Kekuléstraße ;L 9 ;Benennung 1917 ;Benannt nach Friedrich August Kekulé (18291896),Darmstädter Professor der Chemie. 
Posthorn;L 9 ;16. Jun 56;Die Straße liegt in einem Gebiet, in dem viele Wohnungen für Bedienstete der Bundespost gebaut wurden. 
Robert-Cauer-Straße;L 9 ;;Benannt nach Professor Robert Cauer (1863-1947), Darmstädter Bildhauer 
Böllenfalltorweg ;L 9-10 ;;Böllenfalltorhaus hieß das Forsthaus an den Böllen(Pappeln).Hier stand auch eines von mehreren Falltorhäusern, die den Eingang in den landgräflichen Wildpark sicherten, woraus sich die Benennung ergibt. 
Heimstättenweg ;L-M 5-6 ;;Benennung nach der Heimstättensiedlung im Südwesten von Darmstadt 
Am Kaiserschlag ;L-M 6 ;18. Jul 50;Das Wort Schlag bezeichnet einen Bereich in dem Holz geschlagen wurde 
Am Pelz ;L-M 6 ;18. Jul 50;Benannt nach einer Gewannbezeichnung, die sich auf eine dichte, weiche Bewuchsdecke bezog. 
In der Köhlertanne ;L-M 6 ;18. Jul 50;Gewannbezeichnung, vermutl. standen hier 'Kohlenmeiler'. 
Karlsbader Straße ;L-M 6 ;22. Jun 66;Benannt nach dem böhmischen Kurort Karlsbad. 
Pulverhäuserweg;L-M 6 ;24. Apr 50;Die Benennung erinnert an die früher dort vorhandenen Militär-Pulverhäuser 
Reichenberger Weg;L-M 6 ;22. Jun 66;Benannt nach der nordböhmischen Stadt Reichenberg. 
Freiligrathstraße ;L-M 7 ;Benennung 1919 ;Benannt nach Ferdinand Freiligrath (1810-1876), dt. Dichter, wohnte 1841-1842 in Darmstadt 
Ludwigshöhstraße ;L-M 7-8 ;Benennung 1888 ;führt in südlicher Richtung zur Ludwigshöhe 
Paul-Wagner-Straße;L-M 7-8 ;Benennung 1923 ;Benannt nach Geheimrat Dr. Paul Wagner (1843-1930), Professor, Dr.phil.Dr.agr.,Dr.Ing., Direktor der Landw. Versuchsstation Darmstadt. 
Flachsbachweg ;L-M 8 ;;Benennung nach dem 'Flachsbach' (Saubach),der in diesem Gebiet fließt. 
Martinspfad ;L-M 8 ;;siehe Martinstraße 
Prälat-Diehl-Straße;L-M 8 ;;Benannt nach Wilhelm Diehl (1871-1944), D.Dr.Dr., Prälat der Evangel. Landeskirche in Hessen, verdienter Forscher in der Hess. Kirchengeschichte u. Heimatgeschichte, war Pfarrer in Darmstadt. 
Klappacher Straße ;L-M 8-9 ;9. Januar 1959 26. Juni 1953 ;Nach dem früher vorhandenen Dorf Klappach benannt. 
Karlsruher Straße ;L-R 6-7 ;24. Mai 72;Stadtteil Eberstadt, benannt nach der Stadt Karlsruhe, in der Oberrheinebene. 
Anne-Frank-Straße ;M 5 ;12. Feb 03;Benannt nach Anne Frank (1929-1945), jüdische Schülerin,Verfasserin des berühmten Tagebuches, ermordet im KZ Bergen-Belsen 
Elisabeth-Kern-Straße ;M 5 ;12. Feb 03;Benannt nach Elisabeth Kern (1880-1944), Jüdin, Widerstandskämpferin, frühe Stadtverordnete der SPD in Darmstadt, 1944 verhaftet u. starb bei dem Bombenangriff am 11.09.44. 
Elisabeth-Leuschner-Anlage ;M 5 ;17. Dez 03;Benannt nach Elisabeth Leuschner (18851971),Widerstandskämpferin, Ehefrau von Wilhelm Leuschner. 
Elisabeth-Schumacher-Straße ;M 5 ;12. Feb 03;Benannt nach Elisabeth Schumacher (1904-1942), in Darmstadt geborene Widerstandskämpferin, wurde 1942 hingerichtet. 
Fünfkirchner Straße ;M 5 ;13. Aug 59;Benannt nach Fünfkirchen, die Hauptstadt des größten deutschen Siedlungsgebietes in Ungarn (vor 1000 Jahren von Deutschen gegründet). 
Gertrud-Ulmann-Straße ;M 5 ;12. Feb 03;Benannt nach Gertrud Ulmann (1876-1943), Jüdische Malerin (Expressionismus), ab 1913 in Darmstadt, wurde 1942 nach Theresienstadt deportiert. 
Hannah-Arendt-Weg ;M 5 ;12. Feb 03;Benannt nach Hannah Arendt (1906-1975),Philosophin, Autorin verschiedener bedeutender politischer Werke.Emigrierte 1941 in die USA 
Heinrich-Knieß-Anlage ;M 5 ;17. Dez 03;Benannt nach Heinrich Knieß (1932-2002), Darmstädter Stadtverordneter, ehrenamtl. Stadtrat und langjähriger Vorsitzender des Sportvereins Rot-Weiß-Darmstadt. 
Kronstädter Weg ;M 5 ;24. Mai 72;Benannt nach der rumänischen Stadt Kronstadt. 
Marie-Trier-Strasse ;M 5 ;12. Feb 03;Benannt nach Marie Trier, geb. 1895, war ein bedeutendes Mitglied der Darmstädter Gesellschaft vor 1933, sie führte einen literarischen Zirkel. Sie wurde deportiert u. starb in Auschwitz. 
Ollendorffplatz ;M 5 ;17. Dez 03;Benannt nach Henry B. Ollendorff (1907-1979), Förderer des deutsch-amerikanischen Jugendleiteraustausches. 
Ödenburger Straße ;M 5-6 ;21. Sep 53;Benannt nach der Stadt Ödenburg. Sie war die zweitgrößte Stadt im Siedlungsgebiet der Ungarndeutschen. 
Klausenburger Straße ;M 5-7 ;29. Okt 59;Benannt nach der Stadt Klausenburg in Siebenbürgen 
Am Burgwald ;M 6 ;;Gewannbezeichnung nach eiem ehemaligen Jagdgebäude des Landgrafen Ludwigs VIII. 
Am Eichbaumeck ;M 6 ;24. Apr 50;Gewannbezeichnung, nach einer Ecke die Wald u. Feld bildeten u. an der eine Eiche stand. 
Am Klingsacker ;M 6 ;;Gewannbezeichnung nach einer ehem. Ackerfläche die mit Kiefern aufgeforstet wurde. 
Amselweg ;M 6 ;05. Okt 51;Benennung nach dem Singvogel 
An der Maitanne ;M 6 ;;Benannt nach einer alten Gewannbezeichnung, die an ein Gebiet errinnert in dem früher Maibäume geholt wurden. 
Buchenlandweg ;M 6 ;06. Jan 65;Benannt nach der Buchenland-Siedlung am Rande der Heimstätten-Siedlung 
Czernowitzer Straße ;M 6 ;21. Sep 53;Benannt nach der ostdeutsche Stadt Czernowitz. Sie war die Hauptstadt des Siedlungsgebietes der Buchenländer (Bukowina). 
Drosselweg ;M 6 ;05. Okt 51;Benennung nach dem Singvogel 
Fröbaweg ;M 6 ;23. Nov 83;Benannt nach Georg Fröba (1896-1944), Politiker u. Widerstandskämpfer 
Geschwister-Scholl-Weg ;M 6 ;23. Nov 83;Benannt nach Hans Scholl (1918-1943) und Sophie Scholl (1921-1943), Widerstandskämpfer,zentrale Personen in der studentischen Widerstandsbewegung 'Weiße Rose'. 
Hermannstädter Weg ;M 6 ;22. Jun 66;Benennung nach 'Hermannstadt', im südlichen Siebenbürgen. 
Inge-Vahle-Weg ;M 6 ;10. Nov 04;Benannt nach Inge Vahle (1915-1956), Darmstädter Künstlerin, wurde besonders duch ihre Zeichnungen und Wandgestaltungen bekannt. 
Kolbeweg ;M 6 ;23. Nov 83;Benannt nach Raimund (Ordensname:Maximilian ) Kolbe (1894-1941), polnischer Franziskanerpater, Widerstandskämpfer 
Pruthstraße;M 6 ;21. Sep 53;Genannt nach dem Fluß 'Pruth', Hauptfluß im Siedlungsgebiet der Buchenländer. 
Einsteinstraße ;M 7 ;01. Feb 57;Benannt nach Albert Einstein (1879-1955), berühmter Physiker 
Franklinstraße ;M 7 ;01. Feb 57;Benannt nach Benjamin Franklin (1706-1790), amerik. Politiker, Schriftsteller, Naturwissenschaftler und Erfinder. 
Hinter der Rennbahn ;M 7 ;3. November 1993 15. März 1951 ;Benennung nach der benachbarten Rennbahn. 
Lincolnsiedlung ;M 7 ;01. Feb 57;
Noackstraße ;M 7 ;;Benannt nach Professor Christian Carl August Noack (1822-1905), Darmstädter Romantiker, Historienmaler. 
Cooperstraße ;M 7-8 ;01. Feb 57;Jefferson-Siedlung, benannt nach James Fenimore Cooper (1789-1851), amerik. Schriftsteller 
Aßmuthweg ;M 8 ;28. Jan 81;Benannt nach Peter Aßmuth (1856-1939), Darmstädter Kommunalpolitiker 1910-1933 
Eberstädter Weg ;M-N 1-4 ;27. Nov 74;Stadtteil Eberstadt, benannt nach dem südl. Darmstädter Stadtteil Eberstadt. 
Heinrich-Delp-Straße ;M-P 7-8 ;26. Juni 1953 23. Dezember 1953 ;Stadtteil Eberstadt, benannt nach Heinrich Delp (18781945), Bürgermeister in Darmstadt von 1927-1933. 
Buchenhorst ;N 7 ;08. Aug 60;Stadtteil Eberstadt, Benennung nach dem Buchenwald der dort liegt 
Friedrich-Ebert-Straße ;N 7 ;Benennung 1925 ;Stadtteil Eberstadt,benannt nach Friedrich Ebert (18711925), gelernter Sattler, tätig in der Gewerkschaftsbewegung. 1918 Reichskanzler. 19191925 erster Reichspräsident der Weimarer Republik. 
Leo-Tolstoi-Straße ;N 7 ;;Stadtteil Eberstadt, benannt nach Leo Tolstoi (18281910), bedeutender russischer Schriftsteller u. Philosoph. 
Am Haselberg ;N 7-8 ;30. Jan 63;Gewannbezeichnung, Stadtteil Eberstadt,nach den Haselnusssträuchern, die früher dort wuchsen. 
Am Steinern Kreuz ;N 7-8 ;;Stadtteil Eberstadt, Flurbezeichnung nach eimem Steinkreuz, das an dieser Straße stand 
Am Kirschenhang ;N 8 ;30. Jan 63;Stadtteil Eberstadt, benannt nach einer Volksmundbezeichnung 
Auf der Ludwigshöhe ;N 8 ;;Benennung nach der Anhöhe im Süden Darmstadts 
Auf der Marienhöhe ;N 8 ;;Stadtteil Eberstadt, Benennung nach Prinzessin Marie von Hessen und bei Rhein (1824-1880) 
Baumschulenweg ;N-O 1-2 ;11. Okt 61;Benennung nach der Baumschule die sich in der Nähe befindet 
Brandschneise ;N-O 1-2 ;11. Okt 61;Der Name deutet darauf hin, dass hier ein Waldgebiet abgebrannt wude, um die Fläche neu einzusähen. 
Am Elfengrund ;N-O 7 ;Benennung 1918 ;Stadtteil Eberstadt, benannt nach einer Flurbezeichnung. 
Edisonstraße ;N-O 7 ;01. Feb 57;Stadtteil Eberstadt, benannt nach Thomas Alva Edison (1847-1931), amerik. Erfinder 
Heidelberger Landstraße ;N-R 7 ;26. Jun 53;Stadtteil Eberstadt,Benennung nach der Stadt Heidelberg, 60 km südl. von Darmstadt. 
August-Bebel-Straße ;O 7 ;;Stadtteil Eberstadt, benannt nach August Bebel (1840-1913), gelernterDrechsler. 1867 Reichstagsabgeordneter. Gründete mit Wilh. Liebknecht die Partei der marxistischen Sozialdemokratie. 
Bodelschwinghweg ;O 7 ;29. Nov 67;Stadtteil Eberstadt,Benennung nach Pastor Friedrich von Bodelschwingh (1831-1910) 
Carlo-Mierendorff-Straße ;O 7 ;;Stadtteil Eberstadt,benannt nach Dr. Carlo Mierendorff (1897-1943), Pressechef der hessischen Regierung u. Reichstagsabgeordneter. 1933-1938 in verschiedenen KZ. 1943 bei einem Luftangriff auf Leipzig ums Leben gekommen 
Carl-Ulrich-Straße ;O 7 ;;Stadtteil Eberstadt, benannt nach Carl Ulrich (18531933), Hessischer Ministerpräsident u. erster Präsident des Volksstaates Hessen 
Daniel-Greiner-Straße ;O 7 ;;Stadtteil Eberstadt, benannt nach Daniel Greiner (18721943), Bildhauer und Maler 
Friedrich-Naumann-Straße ;O 7 ;10. Jan 58;Stadtteil Eberstadt, benannt nach Friedrich Naumann (1860-1919),protestantischer Theologe, dt. Politiker 
Humboldtweg ;O 7 ;01. Feb 78;Benannt nach Wilhelm Freiherr von Humboldt (17671835), Gelehrter, Staatsmann und Sprachforscher. 
Karl-Marx-Straße ;O 7 ;;Stadtteil Eberstadt, benannt nach Karl Marx (1818-1883), Philosoph, Politiker, Schöpfer des wissenschaftlichen Sozialismus 
Löfflerweg ;O 7 ;;Stadtteil Eberstadt, benannt nach einem Familiennamen. 
Morsestraße ;O 7 ;12. Dez 73;Stadtteil Eberstadt, Samuel Finley Breese Morse (17911872),amerikanischer Maler, Erfinder. 
Pfarrer-May-Straße;O 7 ;;Stadtteil Eberstadt,benannt nach Pfarrer May (17251796) wirkte von 1751-1796 inEberstadt. Durch seine Fürsorgetätigkeit bei der armenBevölkerung erwarb er sich große Verdienste. 
Robert-Koch-Straße ;O 7 ;;Stadtteil Eberstadt, benannt nach Prof. Robert Koch (1843-1910), Entdecker des Milzbrand-, Tuberkulose-und Cholera-Bazillus, Nobel-Preisträger 
Langeweg ;O 7-8 ;01. Feb 78;Stadtteil Eberstadt, benannt nach Helene Lange (18481930), dt.Lehrerin u. Frauenrechtlerin. 
Am Eichwäldchen ;O 8 ;;Stadtteil Eberstadt,Benennung nach einem Wäldchen aus dem Gemeindeholz (Eichenholz) verkauft wurde. 
Bäumerweg ;O 8 ;01. Feb 78;Stadtteil Eberstadt, benannt nach Gertrud Bäumer (18731954), Deutsche Frauenrechtlerin u. Schriftstellerin. 
Goerdelerweg ;O 8 ;01. Feb 78;Stadtteil Eberstadt, benannt nach Carl-Friedrich Goerdeler (1884-1945), Jurist, Politiker u. deutscher Widerstandskämpfer 
Korellweg ;O 8 ;01. Feb 78;Stadtteil Eberstadt, benannt nach Adolf Korell (18721941), Hess. Pfarrer u. Politiker 
Ostpreußenstraße ;O-P 7 ;11. Oktober 1961 5. Dezember 1958 ;Stadtteil Eberstadt, benannt nach der ehemaligen nordostdeutschen Provinz Ostpreußen. 
Masurenweg ;P 5-6 ;30. Jan 63;Stadtteil Eberstadt, benannt nach der früher ostpreußischen Provinz Masuren. 
Am Kiefernwald ;P 6 ;26. Jun 53;Stadtteil Eberstadt, Gewannbezeichnung die sich darauf bezieht, dass die Straße früher an einen Kiefernwald grenzte. 
Am Lämmchesberg ;P 6 ;;Stadtteil Eberstadt,Gewannbezeichnung deren Herkunft nicht eindeutig geklärt ist. 
An der Waldschneise ;P 6 ;;Stadtteil Eberstadt,Benennung nach der dort befindl. Schneise 
Bellenweg ;P 6 ;Benennung 1933 ;Stadtteil Eberstadt,Benennung nach den hier befindlichen Pappelbäumen, die mundartl. Bellen genannt werden. 
Bernsteinweg ;P 6 ;30. Jan 63;Stadtteil Eberstadt, Heimatbezeichnungen der Landsmannschaft der Ost- und Westpreußen 
Damaschkestraße ;P 6 ;15. Mrz 51;Stadtteil Eberstadt,benannt nach Dr. Adolf Damaschke (1865-1935),Volkswirtschaftler, Leiter des Bundes Deutscher Bodenreformer 
Eysenbachstraße ;P 6 ;09. Mai 58;Stadtteil Eberstadt, benannt nach Philipp Eysenbach (1872-1946),er war langjähriger Vorsitzender des Verkehrs-u. Verschönerungsvereins in Eberstadt und gilt als Schöpfer des Naturpfades in Eberstadt. 
Randweg ;P 6 ;;Stadtteil Eberstadt,dieser Weg führte früher am Rande des Waldes entlang. 
Reuterallee ;P 6-7 ;05. Dez 58;Stadtteil Eberstadt, benannt nach Ernst Reuter ( 18891953), Politiker, ehem. Regierender Bürgermeister von West-Berlin. 
Am Bildstock ;P 7 ;26. Jun 53;Benennung nach einem Pfeiler mit einem Aufbau, der eine biblische Figur darstellte 
Boskoopweg ;P 7 ;24. Apr 02;Stadtteil Eberstadt,benannt nach einer Apfelsorte der Streuobstwiesen 
Brandenburgerstraße ;P 7 ;07. Mrz 62;Stadtteil Eberstadt, benannt nach der Landsmannschaft der Brandenbuger 
Buntspechtweg ;P 7 ;24. Apr 02;Stadtteil Eberstadt, benannt nach dem Buntspecht, einer dort ansässigen Vogelart. 
Eberstädter Marktplatz ;P 7 ;26. Jun 53;Stadtteil Eberstadt, benannt nach örtl. Gegebenheiten 
Eberstädter Marktstraße ;P 7 ;29. Okt 59;Stadtteil Eberstadt, benannt nach örtl. Gegebenheiten 
Edelapfelweg ;P 7 ;24. Apr 02;Stadtteil Eberstadt, benannt nach einer Apfelsorte der Streuobstwiesen 
Fritz- Glenz- Straße ;P 7 ;24. Apr 02;Stadtteil Eberstadt, Benennung nach Fritz Glenz, ehem. Darmstädter Stadtrat. 
Gabelsbergerstraße ;P 7 ;Benennung 1918 ;Stadtteil Eberstadt, benannt nach Franz Xaver Gabelsberger (1789-1849), Erfinder der deutschen Kurzschrift. 
Georgenstraße ;P 7 ;Benennung 1846 ;Stadtteil Eberstadt, benannt nach Georg, Prinz von Hessen (1780-1856). 
Gewürzapfelweg ;P 7 ;24. Apr 02;Stadtteil Eberstadt, benannt nach einer Apfelsorte der Streuobstwiesen 
Goldparmänenweg ;P 7 ;24. Apr 02;Stadtteil Eberstadt, benannt nach einer Apfelsorte der Streuobstwiesen 
Griesheimer Weg ;P 7 ;26. Jun 53;Stadtteil Eberstadt, Verbindungsweg von Eberstadt nach Griesheim 
Hagebuttenweg ;P 7 ;27. Feb 02;Stadtteil Eberstadt, benannt nach dem Gewächs Hagebutte. 
Hagenstraße ;P 7 ;26. Jun 53;Stadtteil Eberstadt, benannt nach Hagen von Tronje, Held der Nibelungensage 
Holunderweg ;P 7 ;24. Apr 02;Stadtteil Eberstadt, Benennung nach dem heimischen Gebüsch 
Jakobstraße ;P 7 ;;Stadtteil Eberstadt,Benennung nach Jakob Dächert (1838-1909), Zimmermann der zuerst in dieser Straße wohnte. 
Katharinenstraße ;P 7 ;23. Dez 53;Stadtteil Eberstadt, Benennung nach möglicherweise nach einer früheren Anwohnerin. 
Lagerstraße ;P 7 ;;Benannt nach der Flurbezeichnung 'Im Lager'. 
Louise-Dittmar-Straße ;P 7 ;24. Apr 02;Stadtteil Eberstadt, benannt nach Louise Dittmar (18071884) Autorin, Frauenrechtlerin. 
Mainstraße ;P 7 ;;Stadtteil Eberstadt,benannt nach dem Main, größter rechter Nebenfluß des Rheins. 
Mecklenburgerstraße ;P 7 ;11. Oktober 1961 7. März 1962 ;Stadtteil Eberstadt,benannt nach den Menschen, die nach dem Zweiten Weltkrieg aus Mecklenburg flüchteten u. nach Darmstadt kamen. 
Oberstraße ;P 7 ;;Stadtteil Eberstadt, eine der ältesten Straßen Darmstadts. 
Pestalozzistraße ;P 7 ;30. Dez 58;Stadtteil Eberstadt, benannt nach Johann Heinrich Pestalozzi (1746-1827) bedeutender Schweizer Pädagoge. Reformator des deutschen Schulwesens. 
Pommernstraße ;P 7 ;5. Dezember 1958 11. Oktober 1961 ;Stadtteil Eberstadt,benannt nach der Landschaft Pommern an der Ostsee. 
Prinzenapfelweg ;P 7 ;24. Apr 02;Stadtteil Eberstadt, benannt nach einer Apfelsorte der Streuobstwiesen 
Gersprenzweg ;P 7-8 ;03. Mai 67;Stadtteil Eberstadt, Benennung nach dem Fluß Gersprenz, das auf der Neunkirchner Höhe entspringt. 
Blumenstraße ;P 8 ;;Stadtteil Eberstadt 
Kinzigweg ;P 8 ;03. Mai 67;Stadtteil Eberstadt, Benennung nach der Kinzig, einem rechten Nebenfluß des Mains. 
Mühlweg ;P 8 ;;Stadtteil Eberstadt,dieser Weg führte früher zu den 'Kaisermühlen' 
Mümlingweg ;P 8 ;03. Mai 67;Stadtteil Eberstadt,benannt nach dem Flüsschen Mümling. 
Marienburgstraße ;P-Q 5-6 ;30. Jan 63;Stadtteil Eberstadt, benannt nach der früher westpreußischen Stadt Marienburg. 
Pfungstädter Straße ;P-Q 5-7 ;;Stadtteil Eberstadt,benannt nach der Stadt Pfungstadt, südwestl. von Eberstadt. 
Hohenhordenweg ;P-Q 6 ;29. Aug 53;Stadtteil Eberstadt, das Feld gegen Pfungstadt hatte früher die Bezeichnung Höhe. Die Straße liegt in dem Feldteil. Daher schlug der Verkehrs- und Verschönerungsverein die Bezeichnung vor. 
Industriestraße ;P-Q 6 ;;Stadtteil Eberstadt, Benennung nach dem Industriegebiet neben der Eisenbahn. 
Alte Sackgasse ;P-Q 7 ;26. Jun 53;Stadtteil Eberstadt 
Am Harzofen ;P-Q 7 ;26. Jun 53;Stadtteil Eberstadt, Gewannbezeichnung nach einem Ofen für Harzverarbeitung der früher in der Nähe stand. 
An der Eschollmühle ;P-Q 7 ;26. Jun 53;Stadttteil Eberstadt, Gewannbezeichnung nach der Mühle 
Eberstädter Kirchstraße ;P-Q 7 ;26. Jun 53;Stadtteil Eberstadt, benannt nach örtl. Gegebenheiten 
Im Hirtengrund ;P-Q 7 ;07. Jun 51;Stadtteil Eberstadt, benannt nach einer Gewannbezeichnung, die sich auf ein früher hier stehendes Hirtenhaus bezieht. 
Modaustraße ;P-Q 7 ;01. Feb 78;Stadtteil Eberstadt,benannt nach dem Bach Modau. 
Mühltalstraße ;P-Q 7-10 ;;Stadtteil Eberstadt, im Mühltal zwischen Eberstadt u. Nieder-Ramstadt gab es früher insgesamt 11 Mühlen. 
Am Wehr ;Q 5 ;;Stadtteil Eberstadt,Benennung nach dem Wehr an der Pfungstädter Grenze, das das Wasser der Modau für die unterhalb liegenden Mühlen staute. 
An der Eisenbahn ;Q 6 ;;Stadttteil Eberstadt,Benennung nach der Main-Neckar-Bahn Heidelbeg-Frankfurt, die 1846 eröffnet wurde. 
Görresstraße ;Q 6 ;22. Dez 82;Stadtteil Eberstadt, Joseph Görres (1776-1848), Journalist u. Politischer Publizist 
Arndtstraße ;Q 6-7 ;22. Jun 66;Benennung nach dem deutschen Schriftsteller und Historiker Ernst Moritz Arndt (1769-1860) 
Nussbaumallee ;Q 6-7 ;;Stadtteil Eberstadt, benannt nach dem Baum. 
Am Dautenberg ;Q 7 ;;Stadtteil Eberstadt,Benennung nach einer Sanddüne 
Am Kirchberg ;Q 7 ;;Stadtteil Eberstadt,Benennung nach einer Kirche auf einer Sanddüne 
Am Reutersberg ;Q 7 ;;Stadtteil Eberstadt,Benennung nach Sanddünen im Süden Eberstadts 
Am Steg ;Q 7 ;;Stadtteil Eberstadt, Benennung nach den Stegen, die in der Gemarkung u. im Dorf für den Personenverkehr über die Modau gebaut waren. 
